grid_id,imp_percent,imp_score,flood_score,greenscore,greenview,treeestima,stormwater_managed,overall_score
701,68.60584659,2,3,5,17.99878788,451,342760,3
702,99.8720376,0,0,3,11.19947917,159,120840,1
703,76.87775187,2,0,3,12.08927083,245,186200,2
704,81.79524171,0,3,4,16.39997222,592,449920,2
705,26.78808952,5,1,5,23.45428571,125,95000,4
706,93.12583985,0,0,0,0,0,0,0
707,61.71926756,3,0,4,17.13923394,647,491720,2
708,62.50681095,3,0,3,13.05277423,552,419520,2
709,54.57065269,3,3,5,25.20961174,204,155040,4
710,88.64041815,0,3,3,11.29483854,203,154280,2
711,73.38268788,2,0,3,11.02125,12,9120,2
712,90.86885957,0,1,4,15.36402574,207,157320,2
713,96.79981987,0,3,3,11.25350379,432,328320,2
714,89.87976772,0,3,3,10.02310547,150,114000,2
715,80.43605577,0,3,4,14.53642361,144,109440,2
716,91.98001727,0,3,2,8.704213542,152,115520,2
717,57.99204926,3,0,4,15.7623099,522,396720,2
718,14.24744856,5,0,0,0,0,0,2
719,98.65327034,0,1,2,8.055510204,405,307800,1
720,77.5642298,2,3,5,21.46655,397,301720,3
721,39.79247432,4,0,0,0,0,0,1
722,92.71433678,0,3,3,10.65928333,226,171760,2
723,82.54880902,0,3,4,15.25217226,519,394440,2
724,71.15719943,2,1,2,7.382541667,42,31920,2
725,82.8373608,0,0,5,29.97325249,1401,1064760,2
726,87.6920888,0,3,3,12.54944444,503,382280,2
727,22.73434773,5,3,4,17.5258044,249,189240,4
728,92.2262383,0,3,4,16.57282552,204,155040,2
729,60.45575043,3,3,5,28.62757891,668,507680,4
730,92.13084919,0,3,2,7.881868873,129,98040,2
731,90.2090826,0,3,2,2.033472222,12,9120,2
732,83.88358916,0,3,3,11.38661706,210,159600,2
733,92.79135438,0,3,3,11.79018392,699,531240,2
734,,0,0,0,0,0,0,0
735,10.29386504,5,0,5,31.05635938,460,349600,3
736,83.38192341,0,3,5,18.293379,1025,779000,3
737,85.10824231,0,1,3,11.36805833,294,223440,1
738,19.48385145,5,0,4,17.20071429,93,70680,3
739,92.11294076,0,3,5,19.60776647,637,484120,3
740,95.15009316,0,3,2,6.827832825,282,214320,2
741,84.56414992,0,1,5,20.81448191,618,469680,2
742,,0,4,0,0,0,0,1
743,97.62483337,0,3,2,5.752341486,135,102600,2
744,99.33724043,0,3,3,10.24583333,24,18240,2
745,92.19694585,0,3,3,11.67248512,599,455240,2
746,69.42567711,2,1,4,15.08140625,54,41040,2
747,77.02594896,2,0,4,15.48507563,908,690080,2
748,19.1097293,5,0,5,26.32432765,209,158840,3
749,82.36403343,0,1,3,12.25291952,793,602680,1
750,90.63911713,0,1,5,19.2619875,369,280440,2
751,,0,4,0,0,0,0,1
752,64.14866618,3,0,0,0,0,0,1
753,21.19064115,5,3,0,0,0,0,3
754,24.47098774,5,3,4,16.0300625,68,51680,4
755,,0,5,0,0,0,0,2
756,65.29071468,2,1,5,31.58631771,889,675640,3
757,60.50751873,3,3,5,21.93722222,487,370120,4
758,92.72611346,0,3,4,13.47651882,714,542640,2
759,94.47943876,0,3,3,12.08767072,383,291080,2
760,91.59518178,0,3,3,11.40972739,465,353400,2
761,38.87974927,4,3,5,21.21407738,813,617880,4
762,96.77288898,0,3,4,16.13580729,54,41040,2
763,87.55329309,0,3,4,17.22805276,869,660440,2
764,86.93341604,0,3,5,18.43295732,593,450680,3
765,15.18851257,5,3,5,28.01146234,528,401280,4
766,43.06042795,4,3,0,0,0,0,2
767,76.58295495,2,0,0,0,0,0,1
768,65.24438457,2,1,0,0,0,0,1
769,12.54998474,5,0,0,0,0,0,2
770,,0,4,0,0,0,0,1
771,91.07240258,0,3,3,11.41875473,219,166440,2
772,93.643241,0,3,4,16.30754442,908,690080,2
773,93.12867145,0,3,3,12.88418311,437,332120,2
774,28.72035958,5,0,2,9.535520833,12,9120,2
775,,0,4,0,0,0,0,1
776,68.30866256,2,3,5,31.0670375,1073,815480,3
777,85.27872875,0,3,4,16.01924395,400,304000,2
778,94.1408677,0,3,3,12.23439852,314,238640,2
779,81.08391353,0,3,5,19.28479167,964,732640,3
780,88.13231022,0,3,4,14.09096354,441,335160,2
781,87.04259561,0,3,2,8.897757469,465,353400,2
782,89.97507578,0,3,5,18.52245581,476,361760,3
783,,0,4,0,0,0,0,1
784,98.81018063,0,3,3,12.29320685,302,229520,2
785,88.48569678,0,3,5,23.43087384,299,227240,3
786,59.847727,3,1,4,14.35942708,388,294880,3
787,92.60003673,0,3,5,25.28406622,527,400520,3
788,93.54159874,0,3,3,11.05273438,198,150480,2
789,63.18601893,3,0,0,0,0,0,1
790,84.78137395,0,0,4,15.36361458,246,186960,1
791,84.84959087,0,1,4,16.39973958,200,152000,2
792,91.92741706,0,3,2,9.786905637,304,231040,2
793,5.313732707,5,0,0,0,0,0,2
794,83.779717,0,1,3,13.28003472,102,77520,1
795,92.99631642,0,3,2,9.54512037,435,330600,2
796,89.84042209,0,3,3,12.64723279,245,186200,2
797,6.482112296,5,3,0,0,0,0,3
798,84.09875098,0,1,4,15.051875,580,440800,2
799,91.50434836,0,0,5,19.98022917,468,355680,2
800,60.74831256,3,3,5,26.53712838,711,540360,4
801,97.93859013,0,0,2,5.381475694,33,25080,1
802,79.63333006,2,1,3,12.16633401,306,232560,2
803,91.60518837,0,3,2,7.231690476,240,182400,2
804,100,0,3,0,0,0,0,1
805,84.2954585,0,3,3,13.14738225,285,216600,2
806,62.58471094,3,0,0,0,0,0,1
807,,0,5,0,0,0,0,2
808,,0,4,0,0,0,0,1
809,88.39411096,0,3,5,22.4646062,701,532760,3
810,97.79890028,0,0,0,0,0,0,0
811,93.58006181,0,1,4,16.66773611,198,150480,2
812,95.0933065,0,3,3,10.88646528,299,227240,2
813,57.8073227,3,0,0,0,0,0,1
814,92.79083598,0,3,4,13.65538542,478,363280,2
815,89.5971146,0,0,5,20.38603554,271,205960,2
816,56.46421067,3,0,4,17.1216862,440,334400,2
817,88.90039919,0,3,5,23.97402778,778,591280,3
818,0.441415196,5,3,0,0,0,0,3
819,94.42899556,0,3,2,5.79010723,204,155040,2
820,85.49309679,0,0,5,26.23094329,350,266000,2
821,95.78685814,0,3,2,9.468690476,446,338960,2
822,83.51187608,0,1,5,25.82289133,695,528200,2
823,,0,4,0,0,0,0,1
824,9.597020353,5,3,5,19.4590625,27,20520,4
825,92.68833856,0,3,2,7.465188301,204,155040,2
826,85.03043637,0,3,4,16.38090774,384,291840,2
827,84.4160132,0,1,4,14.5665997,348,264480,2
828,93.26272226,0,1,3,12.98165865,288,218880,1
829,71.0067313,2,0,2,7.62460779,765,581400,1
830,90.67201331,0,3,3,13.37436492,735,558600,2
831,36.12599381,4,1,0,0,0,0,2
832,93.72145395,0,3,3,12.24914286,393,298680,2
833,,0,0,0,0,0,0,0
834,91.37765908,0,3,3,10.63638194,294,223440,2
835,86.33903288,0,0,4,15.12092936,811,616360,1
836,,0,0,0,0,0,0,0
