FID,Join_Count,TARGET_FID,Id,Shape_Leng,Shape_Area,GeoID,FLD_AR_ID,FLD_ZONE,FLOODWAY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,BFE_REVERT,DEP_REVERT,SOURCE_CIT,flood_score
269,1,270,0,2721.46831,450465.1845,270,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
270,1,271,0,2721.46831,450465.1845,271,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
271,1,272,0,2721.46831,450465.1845,272,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
272,1,273,0,2721.468966,450465.4443,273,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
273,1,274,0,947.2582625,36934.59066,274,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
274,2,275,0,2721.468967,450465.3712,275,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
275,2,276,0,2721.46831,450465.1845,276,423,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
276,1,277,0,2721.46831,450465.1845,277,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
277,1,278,0,2721.46831,450465.1845,278,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
278,1,279,0,2721.46831,450465.1845,279,649,OPEN WATER, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,4
279,2,280,0,2544.605713,404335.2107,280,649,OPEN WATER, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,4
280,1,281,0,1865.517065,158389.6847,281,649,OPEN WATER, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,4
281,3,282,0,2721.46831,450465.1845,282,394,AE, ,T,12,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
282,1,283,0,2721.468967,450465.3712,283,489,AE, ,T,11,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
283,3,284,0,2721.46831,450465.1845,284,456,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
284,1,285,0,2721.46831,450465.1845,285,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
285,7,286,0,2721.46831,450465.1845,286,381,AE, ,T,13,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
286,1,287,0,2721.46831,450465.1845,287,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
287,2,288,0,2721.46831,450465.1845,288,449,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
288,1,289,0,2721.468967,450465.3712,289,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
289,1,290,0,2721.46831,450465.1845,290,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
290,1,291,0,2721.468967,450465.3712,291,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
291,4,292,0,2721.46831,450465.1845,292,398,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
292,3,293,0,1661.322619,118371.5348,293,274,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
293,1,294,0,2092.905344,174958.8346,294,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
294,3,295,0,1181.637404,44903.06851,295,333,AE, ,T,14,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
295,1,296,0,2051.606812,72897.74095,296,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
296,3,297,0,2721.46831,450465.1845,297,340,AE, ,T,11,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
297,1,298,0,2721.46831,450465.1845,298,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
298,1,299,0,2721.468967,450465.3712,299,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
299,4,300,0,2721.46831,450465.1845,300,489,AE, ,T,11,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
300,1,301,0,2721.468967,450465.4443,301,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
301,3,302,0,2721.46831,450465.1845,302,437,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
302,1,303,0,2721.46831,450465.1845,303,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
303,4,304,0,2721.468967,450465.3712,304,411,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
304,2,305,0,2721.46831,450465.1845,305,381,AE, ,T,13,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
305,1,306,0,2721.46831,450465.1845,306,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
306,1,307,0,2721.46831,450465.1845,307,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
307,2,308,0,1846.557438,100359.7419,308,411,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
308,3,309,0,1635.020778,113266.8768,309,283,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
309,1,310,0,2721.468967,450465.3712,310,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
310,1,311,0,2721.46831,450465.1845,311,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
311,3,312,0,2721.46831,450465.1845,312,477,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
312,4,313,0,2721.46831,450465.1845,313,307,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
313,1,314,0,2721.46831,450465.1845,314,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
314,1,315,0,2721.46831,450465.1845,315,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
315,4,316,0,2721.46831,450465.1845,316,370,AE, ,T,12,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
316,1,317,0,2721.468967,450465.3712,317,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
317,1,318,0,842.0907795,30408.71456,318,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
318,3,319,0,2721.46831,450465.1845,319,437,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
319,4,320,0,2721.468967,450465.3712,320,304,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
320,1,321,0,2721.46831,450465.1845,321,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
321,2,322,0,2721.46831,450465.1845,322,711,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
322,1,323,0,1019.940044,44309.07714,323,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
