grid_id,imp_percent,imp_score,flood_score,green_score,greenview_index,storwater_managed,treecountestimate,overall_score
749,82.36403343,0,1,,,0,0,0.333333333
750,90.63911713,0,1,5,22.773,72000,90,2
751,,0,4,,,0,0,1.333333333
752,64.14866618,3,0,,,0,0,1
753,21.19064115,5,3,,,0,0,2.666666667
754,24.47098774,5,3,5,24.72010417,18400,23,4.333333333
755,,0,5,,,0,0,1.666666667
756,65.29071468,2,1,5,31.75305208,216000,270,2.666666667
757,60.50751873,3,3,,,0,0,2
758,92.72611346,0,3,3,13.04136619,291200,364,2
759,94.47943876,0,3,3,15.44227083,56000,70,2
760,91.59518178,0,3,,,0,0,1
761,38.87974927,4,3,5,23.60445076,158400,198,4
762,96.77288898,0,3,,,0,0,1
763,87.55329309,0,3,,,0,0,1
764,86.93341604,0,3,5,21.47490885,230400,288,2.666666667
765,15.18851257,5,3,5,44.16914583,120000,150,4.333333333
766,43.06042795,4,3,,,0,0,2.333333333
767,76.58295495,2,0,,,0,0,0.666666667
768,65.24438457,2,1,,,0,0,1
769,12.54998474,5,0,,,0,0,1.666666667
770,,0,4,,,0,0,1.333333333
771,91.07240258,0,3,5,21.71523148,129600,162,2.666666667
772,93.643241,0,3,,,0,0,1
773,93.12867145,0,3,3,13.85469742,235200,294,2
774,28.72035958,5,0,2,9.535520833,11200,14,2.333333333
775,,0,4,,,0,0,1.333333333
776,68.30866256,2,3,5,30.7309375,410400,513,3.333333333
777,85.27872875,0,3,3,13.88266026,145600,182,2
778,94.1408677,0,3,,,0,0,1
779,81.08391353,0,3,3,12.88111458,112000,140,2
780,88.13231022,0,3,0,16.75011285,134400,168,1
781,87.04259561,0,3,,,0,0,1
782,89.97507578,0,3,,,0,0,1
783,,0,4,,,0,0,1.333333333
784,98.81018063,0,3,,,0,0,1
785,88.48569678,0,3,5,23.50024306,86400,108,2.666666667
786,59.847727,3,1,5,24.55166667,55200,69,3
787,92.60003673,0,3,5,30.09975694,64800,81,2.666666667
788,93.54159874,0,3,2,11.8034375,112000,140,1.666666667
789,63.18601893,3,0,,,0,0,1
790,84.78137395,0,0,0,6.754479167,6400,8,0
791,84.84959087,0,1,,,0,0,0.333333333
792,91.92741706,0,3,3,13.7360119,156800,196,2
793,5.313732707,5,0,,,0,0,1.666666667
794,83.779717,0,1,,,0,0,0.333333333
795,92.99631642,0,3,,,0,0,1
796,89.84042209,0,3,0,7.493770833,32000,40,1
797,6.482112296,5,3,,,0,0,2.666666667
798,84.09875098,0,1,5,21.478125,57600,72,2
799,91.50434836,0,0,,,0,0,0
800,60.74831256,3,3,5,32.62081667,540000,675,3.666666667
801,97.93859013,0,0,,,0,0,0
802,79.63333006,2,1,,,0,0,1
803,91.60518837,0,3,,,0,0,1
804,100,0,3,,,0,0,1
805,84.2954585,0,3,3,13.76967593,302400,378,2
806,62.58471094,3,0,,,0,0,1
807,,0,5,,,0,0,1.666666667
808,,0,4,,,0,0,1.333333333
809,88.39411096,0,3,,,0,0,1
810,97.79890028,0,0,,,0,0,0
811,93.58006181,0,1,3,14.10064583,112000,140,1.333333333
812,95.0933065,0,3,0,5.381041667,6400,8,1
813,57.8073227,3,0,,,0,0,1
814,92.79083598,0,3,0,20.63888542,144000,180,1
815,89.5971146,0,0,0,19.87375,86400,108,0
816,56.46421067,3,0,,,0,0,1
817,88.90039919,0,3,5,25.19454496,349600,437,2.666666667
818,0.441415196,5,3,,,0,0,2.666666667
819,94.42899556,0,3,0,5.783802083,38400,48,1
820,85.49309679,0,0,,,0,0,0
821,95.78685814,0,3,3,12.33801215,134400,168,2
822,83.51187608,0,1,5,25.916875,55200,69,2
823,,0,4,,,0,0,1.333333333
824,9.597020353,5,3,,,0,0,2.666666667
825,92.68833856,0,3,2,10.08754808,145600,182,1.666666667
826,85.03043637,0,3,0,18.56286458,57600,72,1
827,84.4160132,0,1,,,0,0,0.333333333
828,93.26272226,0,1,0,8.026429398,201600,252,0.333333333
829,71.0067313,2,0,0,3.095729167,7200,9,0.666666667
830,90.67201331,0,3,0,17.02359375,22400,28,1
831,36.12599381,4,1,,,0,0,1.666666667
832,93.72145395,0,3,2,11.91849826,134400,168,1.666666667
833,,0,0,,,0,0,0
834,91.37765908,0,3,3,13.70119391,145600,182,2
835,86.33903288,0,0,,,0,0,0
836,,0,0,,,0,0,0
